sheet,address,formula
A15-18-PK34,P11,=13.66-3
A15-18-PK34,P12,=SUM(F22:F27)
A15-18-PK34,P13,=AVERAGE(H21:H26)
A15-18-PK34,P14,=AVERAGE(H27:H30)
A13-18-PK34,P11,=SUM(F21:F27)
A13-18-PK34,P12,=AVERAGE(H21:H25)
A13-18-PK34,P13,=AVERAGE(H26:H29)
A12-18-PK34,P11,=SUM(F22:F26)
A12-18-PK34,P12,=AVERAGE(H21:H25)
A12-18-PK34,P13,=AVERAGE(H26:H28)
A11-18-PK34,P11,=SUM(F21:F26)
A11-18-PK34,P12,=AVERAGE(H21:H25)
A11-18-PK34,P13,=AVERAGE(H26:H29)
A10-18-PK34,P11,=SUM(F21:F27)
A10-18-PK34,P12,=AVERAGE(H21:H25)
A10-18-PK34,P13,=AVERAGE(H26:H29)
A9-18-PK34,P11,=SUM(F21:F27)
A9-18-PK34,P12,=AVERAGE(H21:H25)
A9-18-PK34,P13,=AVERAGE(H26:H29)
A8-18-PK34,P11,=SUM(F21:F26)
A8-18-PK34,P12,=AVERAGE(H21:H25)
A8-18-PK34,P13,=AVERAGE(H26:H28)
A7-18-PK34,P11,=SUM(F21:F27)
A7-18-PK34,P12,=AVERAGE(H21:H25)
A7-18-PK34,P13,=AVERAGE(H26:H30)
A6-18-PK34,P11,=SUM(F21:F27)
A6-18-PK34,P12,=AVERAGE(H21:H25)
A6-18-PK34,P13,=AVERAGE(H26:H29)
A5-18-PK34,P11,=SUM(F21:F26)
A5-18-PK34,P12,=AVERAGE(H21:H26)
A5-18-PK34,P13,=AVERAGE(H27:H30)
A4-18-PK34,P11,=SUM(F21:F27)
A4-18-PK34,P12,=AVERAGE(H21:H25)
A4-18-PK34,P13,=AVERAGE(H26:H29)
A3-18-PK34,P12,=SUM(F21:F27)
A3-18-PK34,P13,=AVERAGE(H21:H25)
A3-18-PK34,P14,=AVERAGE(H26:H29)
A2-18-PK34,P11,=SUM(F21:F26)
A2-18-PK34,P12,=AVERAGE(H21:H25)
A2-18-PK34,P13,=AVERAGE(H26:H29)
A26-18-PK34,P11,=SUM(F21:F26)
A26-18-PK34,P12,=AVERAGE(H21:H25)
A26-18-PK34,P13,=AVERAGE(H26:H29)
A25-18-PK34,P11,=SUM(F21:F27)
A25-18-PK34,P12,=AVERAGE(H21:H25)
A25-18-PK34,P13,=AVERAGE(H26:H29)
A24-18-PK34,P11,=SUM(F22:F27)
A24-18-PK34,P12,=AVERAGE(H21:H25)
A24-18-PK34,P13,=AVERAGE(H26:H29)
A23-18-PK34,P12,=SUM(F21:F27)
A23-18-PK34,P13,=AVERAGE(H21:H25)
A23-18-PK34,P14,=AVERAGE(H26:H29)
A22-18-PK34,P11,=SUM(F21:F26)
A22-18-PK34,P12,=AVERAGE(H21:H25)
A22-18-PK34,P13,=AVERAGE(H26:H29)
A20-18-PK34,P12,=SUM(F22:F26)
A20-18-PK34,P13,=AVERAGE(H21:H25)
A20-18-PK34,P14,=AVERAGE(H26:H29)
19-18-PK34,P11,=SUM(F22:F27)
19-18-PK34,P12,=AVERAGE(H21:H25)
19-18-PK34,P13,=AVERAGE(H26:H29)
A18-18-PK34,P12,=SUM(F22:F27)
A18-18-PK34,P13,=AVERAGE(H21:H25)
A18-18-PK34,P14,=AVERAGE(H26:H29)
A17-18-PK34,O10,=13.76-3
A17-18-PK34,O11,=SUM(F22:F28)
A17-18-PK34,O12,=AVERAGE(H21:H25)
A17-18-PK34,O13,=AVERAGE(H26:H29)
A16-18-PK34,P15,=13.77-3
A16-18-PK34,P16,=SUM(F22:F27)
A16-18-PK34,P17,=AVERAGE(H21:H26)
A16-18-PK34,P18,=AVERAGE(H27:H30)
A14-18-PK34,P12,=13.58-3
A14-18-PK34,P13,=SUM(F21:F29)
A14-18-PK34,P14,=AVERAGE(J21:J25)
A14-18-PK34,P15,=AVERAGE(H26:H29)
